,행정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
171,세곡동,12,14391.0,0.0008338544923910778,0.08338544923910778
172,중동,12,9692.0,0.0012381345439537762,0.12381345439537762
173,갈월동,12,2748.0,0.004366812227074236,0.43668122270742354
174,압구정동,12,30226.0,0.0003970091973797393,0.03970091973797393
175,청진동,12,53.0,0.22641509433962265,22.641509433962266
176,종로6가,12,460.0,0.02608695652173913,2.608695652173913
177,수색동,12,20441.0,0.0005870554278166431,0.05870554278166431
178,능동,12,11097.0,0.0010813733441470668,0.10813733441470669
179,당산동6가,12,3372.0,0.0035587188612099642,0.3558718861209964
180,도선동,12,4706.0,0.0025499362515937103,0.254993625159371
181,을지로6가,12,156.0,0.07692307692307693,7.6923076923076925
182,숭인동,12,15603.0,0.0007690828686791001,0.07690828686791001
183,남창동,12,414.0,0.028985507246376812,2.898550724637681
184,남현동,12,17687.0,0.0006784644088878838,0.06784644088878838
185,황학동,12,12697.0,0.0009451051429471528,0.09451051429471528
186,자곡동,12,27333.0,0.000439029744265174,0.043902974426517395
187,금호동1가,12,14745.0,0.0008138351983723296,0.08138351983723296
188,효창동,12,10685.0,0.0011230697239120262,0.11230697239120262
189,우이동,12,10657.0,0.0011260204560382848,0.11260204560382847
190,이태원동,12,14683.0,0.0008172716747258734,0.08172716747258735
191,대현동,12,6760.0,0.0017751479289940828,0.17751479289940827
192,종로3가,12,124.0,0.0967741935483871,9.67741935483871
193,가리봉동,10,8766.0,0.0011407711613050423,0.11407711613050422
194,염리동,10,18042.0,0.0005542622769094336,0.05542622769094335
195,당산동1가,10,6679.0,0.0014972301242701003,0.14972301242701003
196,신문로1가,10,74.0,0.13513513513513514,13.513513513513514
197,원효로2가,10,1730.0,0.005780346820809248,0.5780346820809248
198,동소문동2가,10,507.0,0.01972386587771203,1.9723865877712032
199,당산동4가,10,12158.0,0.0008225037012666557,0.08225037012666557
200,서소문동,10,21.0,0.47619047619047616,47.61904761904761
201,동소문동6가,10,1854.0,0.005393743257820928,0.5393743257820928
202,대신동,10,1561.0,0.0064061499039077515,0.6406149903907752
203,우면동,10,27411.0,0.00036481704425230747,0.03648170442523074
204,송정동,10,9838.0,0.0010164667615368977,0.10164667615368977
205,동자동,8,3477.0,0.0023008340523439745,0.23008340523439746
206,용산동2가,8,8910.0,0.0008978675645342312,0.08978675645342313
207,신설동,8,3666.0,0.002182214948172395,0.2182214948172395
208,중림동,8,6353.0,0.0012592475995592634,0.12592475995592634
209,혜화동,8,3182.0,0.00251414204902577,0.251414204902577
210,남대문로5가,8,694.0,0.011527377521613832,1.1527377521613833
211,명륜2가,8,3025.0,0.002644628099173554,0.2644628099173554
212,당산동3가,8,8941.0,0.0008947545017335869,0.08947545017335869
213,저동2가,8,254.0,0.031496062992125984,3.149606299212598
214,을지로2가,8,52.0,0.15384615384615385,15.384615384615385
215,양평동4가,8,6687.0,0.001196351129056378,0.1196351129056378
216,내곡동,8,8258.0,0.0009687575684185032,0.09687575684185032
217,충무로2가,8,256.0,0.03125,3.125
218,영등포동2가,8,4224.0,0.001893939393939394,0.1893939393939394
219,원남동,8,504.0,0.015873015873015872,1.5873015873015872
