,행정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
32,논현동,7,41447.0,0.00016889039013680122,0.01688903901368012
33,신정동,7,1540.0,0.004545454545454545,0.45454545454545453
34,신정동,7,172038.0,4.0688685057952315e-05,0.004068868505795232
35,봉천동,7,221775.0,3.156352158719423e-05,0.003156352158719423
36,사당동,6,96784.0,6.199371796991238e-05,0.006199371796991238
37,필동2가,6,849.0,0.007067137809187279,0.7067137809187279
38,광장동,6,33971.0,0.00017662123575991286,0.017662123575991284
39,양재동,6,35620.0,0.00016844469399213924,0.016844469399213923
40,신당동,6,67433.0,8.89772070054721e-05,0.00889772070054721
41,와룡동,6,94.0,0.06382978723404255,6.382978723404255
42,쌍문동,6,73064.0,8.21197853936275e-05,0.00821197853936275
43,후암동,6,15998.0,0.00037504688086010754,0.037504688086010755
44,독산동,6,102277.0,5.866421580609521e-05,0.005866421580609521
45,송파동,6,41914.0,0.00014315026005630576,0.014315026005630576
46,시흥동,5,100509.0,4.9746788844780067e-05,0.004974678884478007
47,자양동,5,92565.0,5.401609679684546e-05,0.005401609679684546
48,제기동,5,23014.0,0.00021725905970278962,0.02172590597027896
49,연희동,5,33990.0,0.00014710208884966165,0.014710208884966165
50,노량진동,5,31412.0,0.0001591748376416656,0.01591748376416656
51,삼청동,5,1259.0,0.003971405877680699,0.3971405877680699
52,마곡동,5,54028.0,9.254460650033316e-05,0.009254460650033316
53,면목동,5,134764.0,3.710189664895669e-05,0.0037101896648956694
54,상도동,5,113674.0,4.398543202491335e-05,0.004398543202491335
55,방이동,5,59160.0,8.451656524678837e-05,0.008451656524678837
56,사직동,5,3172.0,0.0015762925598991173,0.15762925598991173
57,녹번동,5,36111.0,0.0001384619644983523,0.01384619644983523
58,신월동,5,118458.0,4.220905299768694e-05,0.004220905299768695
59,소격동,5,134.0,0.03731343283582089,3.731343283582089
60,명동2가,4,523.0,0.0076481835564053535,0.7648183556405354
61,계동,4,1031.0,0.0038797284190106693,0.38797284190106696
62,한강로3가,4,7907.0,0.0005058808650562792,0.05058808650562792
63,도봉동,4,46030.0,8.689984792526613e-05,0.008689984792526613
64,천호동,4,84811.0,4.716369338882928e-05,0.0047163693388829276
65,정릉동,4,77990.0,5.128862674701885e-05,0.005128862674701885
66,용답동,4,11921.0,0.0003355423202751447,0.03355423202751447
