,gu,dong,eduScore,envScore,safeScore,welScore,popScore,transScore,convScore
133,동작구,대방동,61.87740968065901,45.4664743694611,62.42289766941429,57.60550176981195,52.95056365972235,59.55261861074623,46.036324538145145
134,동작구,사당동,61.87740968065901,45.4664743694611,62.42289766941429,58.82927819495425,53.1439450988799,62.14365206345773,75.22833150266926
135,동작구,신대방동,61.87740968065901,45.4664743694611,62.42289766941429,57.59647316053198,52.329690049063444,58.51725595248752,46.036324538145145
136,동작구,상도동,61.87740968065901,45.4664743694611,62.42289766941429,58.816316673912794,52.79778727816543,64.79054103834287,46.036324538145145
137,동작구,본동,50.781289525683114,45.4664743694611,62.42289766941429,45.820226411266546,50.72979907017894,55.27709489402691,46.036324538145145
138,동작구,동작동,50.781289525683114,45.4664743694611,62.42289766941429,45.42416158269311,49.14096460195038,52.861601556740204,46.036324538145145
139,은평구,진관동,53.84112723460719,41.26012569037555,61.63029943915461,58.40549430327218,49.351705377770344,61.14281148923592,75.22833150266926
140,은평구,구산동,53.79964108327742,41.26012569037555,61.63029943915461,56.744540425338144,50.52963685123245,53.79241783424738,46.036324538145145
141,은평구,신사동,53.79964108327742,41.26012569037555,61.63029943915461,57.24447194033901,50.939876852428085,57.995123819201595,46.036324538145145
142,은평구,불광동,53.79964108327742,41.26012569037555,61.63029943915461,57.95826969153173,50.994480526791385,60.442581658613506,46.036324538145145
143,은평구,응암동,53.79964108327742,41.26012569037555,61.63029943915461,58.730384322112755,50.14128332500948,61.545587023542026,75.22833150266926
144,은평구,증산동,53.79964108327742,41.26012569037555,61.63029943915461,56.83663918622722,50.71081337952239,52.861601556740204,46.036324538145145
145,은평구,갈현동,42.70352092830153,41.26012569037555,61.63029943915461,47.70396429200571,51.37543429344406,57.857304177963904,46.036324538145145
146,은평구,역촌동,42.70352092830153,41.26012569037555,61.63029943915461,57.60550176981195,50.870766558262225,57.857304177963904,46.036324538145145
147,은평구,녹번동,42.70352092830153,41.26012569037555,61.63029943915461,57.673283342371384,50.85679326667415,55.27709489402691,46.036324538145145
148,은평구,대조동,42.70352092830153,41.26012569037555,61.63029943915461,47.73955950766452,54.851232915422116,55.27709489402691,46.036324538145145
149,은평구,수색동,42.70352092830153,41.26012569037555,61.63029943915461,56.522581846391304,51.08931792162805,54.069660568735735,75.22833150266926
150,중구,신당동,55.68027615984913,55.41198939034237,36.638432597799515,58.655495973297754,51.15776760361916,58.76261063126594,46.036324538145145
151,중구,만리동2가,55.6469882026232,55.41198939034237,36.638432597799515,55.71273527979282,48.37802073085643,45.65093663887886,46.036324538145145
152,중구,묵정동,55.62047389982745,55.41198939034237,36.638432597799515,45.33870082245069,57.47610077566972,43.45101496777316,46.036324538145145
153,중구,남대문로5가,44.52435374485156,55.41198939034237,36.638432597799515,56.47581130486962,42.15426739709847,51.72587288894799,46.036324538145145
154,중구,태평로2가,44.52435374485156,55.41198939034237,36.638432597799515,56.00480370111699,52.613100600744836,51.28212478464065,46.036324538145145
155,중구,중림동,44.52435374485156,55.41198939034237,36.638432597799515,46.32431749744397,51.25664254152837,50.79422738980435,46.036324538145145
156,중구,장충동2가,44.52435374485156,55.41198939034237,36.638432597799515,45.94688819847477,57.80637897179438,50.25134468045445,46.036324538145145
157,중구,봉래동2가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,13.187359459466421,49.63790760869819,75.22833150266926
158,중구,태평로1가,44.52435374485156,55.41198939034237,36.638432597799515,55.75393630675862,13.187359459466421,49.63790760869819,46.036324538145145
159,중구,남대문로3가,44.52435374485156,55.41198939034237,36.638432597799515,56.00480370111699,13.187359459466421,49.63790760869819,46.036324538145145
160,중구,황학동,44.52435374485156,55.41198939034237,36.638432597799515,56.522581846391304,55.147102231494614,49.63790760869819,75.22833150266926
161,중구,남창동,44.52435374485156,55.41198939034237,36.638432597799515,46.63007297786504,45.921884166422906,48.93030629868386,46.036324538145145
162,중구,남대문로2가,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,13.187359459466421,48.93030629868386,46.036324538145145
163,중구,을지로6가,44.52435374485156,55.41198939034237,36.638432597799515,56.522581846391304,61.38815056539693,48.93030629868386,46.036324538145145
164,중구,을지로7가,44.52435374485156,55.41198939034237,36.638432597799515,45.68314652159249,51.64165476334174,48.93030629868386,46.036324538145145
165,중구,의주로1가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,51.9974769118772,48.93030629868386,46.036324538145145
166,중구,봉래동1가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,40.33656024211457,48.09000824504064,46.036324538145145
167,중구,광희동2가,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,54.274489923285095,48.09000824504064,46.036324538145145
168,중구,장충동1가,44.52435374485156,55.41198939034237,36.638432597799515,55.231209690976954,54.104481160012405,48.09000824504064,46.036324538145145
169,중구,을지로2가,44.52435374485156,55.41198939034237,36.638432597799515,46.32431749744397,54.50799182854738,47.04706512735716,46.036324538145145
170,중구,쌍림동,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,54.65661013449414,47.04706512735716,46.036324538145145
171,중구,을지로4가,44.52435374485156,55.41198939034237,36.638432597799515,46.11229483259072,56.86371039025301,47.04706512735716,46.036324538145145
172,중구,을지로5가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,57.75668505194751,47.04706512735716,46.036324538145145
173,중구,방산동,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,37.839699414139105,47.04706512735716,46.036324538145145
174,중구,서소문동,44.52435374485156,55.41198939034237,36.638432597799515,56.384081793200295,46.96752982923596,47.04706512735716,46.036324538145145
175,중구,정동,44.52435374485156,55.41198939034237,36.638432597799515,46.3748676511122,53.12495724311961,47.04706512735716,46.036324538145145
176,중구,만리동1가,44.52435374485156,55.41198939034237,36.638432597799515,45.68314652159249,50.34842400322219,47.04706512735716,46.036324538145145
177,중구,회현동1가,44.52435374485156,55.41198939034237,36.638432597799515,56.12541621885838,49.37145151810082,47.04706512735716,46.036324538145145
178,중구,필동1가,44.52435374485156,55.41198939034237,36.638432597799515,45.820226411266546,56.61228342162479,47.04706512735716,46.036324538145145
179,중구,을지로1가,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,13.187359459466421,45.65093663887886,46.036324538145145
180,중구,남대문로1가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,13.187359459466421,45.65093663887886,46.036324538145145
181,중구,소공동,44.52435374485156,55.41198939034237,36.638432597799515,55.71273527979282,13.187359459466421,45.65093663887886,75.22833150266926
182,중구,주교동,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,45.87736494827492,45.65093663887886,46.036324538145145
183,중구,을지로3가,44.52435374485156,55.41198939034237,36.638432597799515,55.231209690976954,47.73789610637801,45.65093663887886,46.036324538145145
184,중구,흥인동,44.52435374485156,55.41198939034237,36.638432597799515,56.00480370111699,58.15603560884192,45.65093663887886,46.036324538145145
185,중구,순화동,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,49.652207153886174,45.65093663887886,46.036324538145145
186,중구,회현동2가,44.52435374485156,55.41198939034237,36.638432597799515,45.42416158269311,49.1845338203443,45.65093663887886,46.036324538145145
187,중구,충무로1가,44.52435374485156,55.41198939034237,36.638432597799515,56.00480370111699,45.698631615478384,45.65093663887886,75.22833150266926
188,중구,저동1가,44.52435374485156,55.41198939034237,36.638432597799515,45.42416158269311,40.87897693943457,45.65093663887886,46.036324538145145
189,중구,충무로4가,44.52435374485156,55.41198939034237,36.638432597799515,45.820226411266546,50.48394027032996,45.65093663887886,46.036324538145145
190,중구,예장동,44.52435374485156,55.41198939034237,36.638432597799515,45.836842521758676,51.40929492244085,45.65093663887886,46.036324538145145
191,중구,삼각동,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,13.187359459466421,43.45101496777316,46.036324538145145
192,중구,수표동,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,13.187359459466421,43.45101496777316,46.036324538145145
193,중구,광희동1가,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,57.500285374091035,43.45101496777316,46.036324538145145
194,중구,입정동,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,57.13872319530872,43.45101496777316,46.036324538145145
195,중구,초동,44.52435374485156,55.41198939034237,36.638432597799515,55.231209690976954,47.09437960602175,43.45101496777316,46.036324538145145
196,중구,무학동,44.52435374485156,55.41198939034237,36.638432597799515,45.820226411266546,56.76403733072038,43.45101496777316,46.036324538145145
197,중구,충정로1가,44.52435374485156,55.41198939034237,36.638432597799515,35.53165271416684,13.187359459466421,43.45101496777316,46.036324538145145
198,중구,충무로2가,44.52435374485156,55.41198939034237,36.638432597799515,46.32431749744397,64.85558391143766,43.45101496777316,46.036324538145145
199,중구,남산동1가,44.52435374485156,55.41198939034237,36.638432597799515,55.231209690976954,46.30585215739458,43.45101496777316,46.036324538145145
200,중구,충무로5가,44.52435374485156,55.41198939034237,36.638432597799515,45.33870082245069,62.073932692920536,43.45101496777316,46.036324538145145
