자치구명,법정동명,전세 보증금(평균),월세 보증금(평균),월세 임대료(평균)
동작구,상도동,36402.788727752144,7971.148364485981,57.97751168224299
동작구,신대방동,32622.127272727274,6665.059333333334,53.114
동작구,흑석동,60279.53085376162,15459.924904942965,82.86026615969581
마포구,공덕동,44892.96300448431,12065.69880823402,76.3326110509209
마포구,구수동,22588.08510638298,9300.0,52.875
마포구,노고산동,19576.98245614035,2943.093696763203,67.27768313458262
마포구,당인동,18831.81818181818,4165.454545454545,63.78181818181818
마포구,대흥동,47406.30465116279,10739.967280163599,81.92229038854806
마포구,도화동,43123.81450488145,8804.738636363636,93.41051136363636
마포구,동교동,19443.90625,2752.0833333333335,74.075
마포구,마포동,35138.71578947368,5942.85,62.625
마포구,망원동,27144.24921383648,7009.252873563219,60.30727969348659
마포구,상수동,41514.09956709957,8085.450704225352,73.69859154929577
마포구,상암동,35982.45247933884,5388.888952489983,86.46994848311391
마포구,서교동,26499.660550458717,5518.14880425155,66.98139946855625
마포구,성산동,25158.18360071301,5477.240663900415,59.61976612599019
마포구,신공덕동,49161.002141327626,12181.651898734177,91.78902953586498
마포구,신수동,50495.51127819549,11573.95462478185,72.52530541012216
마포구,신정동,53289.53488372093,15166.666666666666,109.5
마포구,아현동,59695.18490967056,17706.2750929368,118.73977695167287
마포구,연남동,25850.456140350878,3895.8963486454654,69.86925795053004
마포구,염리동,48505.08953613808,13509.935628742514,90.9880239520958
마포구,용강동,62135.050458715596,22604.957746478874,110.50234741784037
마포구,중동,37855.931623931625,11185.802469135802,68.05555555555556
마포구,창전동,47610.3864229765,8519.2030651341,51.91954022988506
마포구,토정동,52459.32432432433,24460.0,101.16
마포구,하중동,112917.74193548386,44529.31034482759,191.9655172413793
마포구,합정동,26920.600257069407,6319.3222683264175,68.99861687413555
마포구,현석동,63444.897260273974,24266.008771929824,116.08771929824562
서대문구,남가좌동,47686.89559386973,10332.109653233365,70.06373008434863
서대문구,냉천동,56996.42857142857,15471.306818181818,70.48863636363636
서대문구,대신동,11025.0,1894.3283582089553,53.87313432835821
서대문구,대현동,27465.387362637364,4348.3165467625895,77.61151079136691
서대문구,미근동,12495.238095238095,5142.105263157895,41.421052631578945
서대문구,봉원동,0.0,2925.0,55.083333333333336
서대문구,북가좌동,29648.99342105263,8396.05917874396,60.358695652173914
서대문구,북아현동,46700.81334841629,12222.446559297217,89.54758418740849
서대문구,신촌동,29000.0,1203.225806451613,54.70967741935484
