index,gu,dong,libraryCount,busStation,cultureCount,medicalCount,crimeRate,youthRate,jeonseDeposit,monthDeposit,monthRent,supermarket,parkRate,academyCount,id,libraryCountRank,busStationRank,cultureCountRank,medicalCountRank,crimeRateRank,youthRateRank,supermarketRank,parkRateRank,academyCountRank
105,노원구,월계동,2.0,107.0,2.0,52.0,7.819948495924434,19.20813269127876,27265.980392156864,5465.070660522273,61.105222734254994,2.0,3.73,52,106,17.0,19.0,121.0,61.0,374.0,298.0,4.0,423.0,232.0
106,노원구,하계동,1.0,54.0,1.0,34.0,7.819948495924434,20.85142255005269,31008.47493163172,6356.692212608158,64.21013597033375,0.0,3.73,52,107,47.0,57.0,173.0,99.0,374.0,246.0,64.0,423.0,232.0
107,노원구,공릉동,1.0,107.0,8.0,80.0,7.819948495924434,24.429954809554552,26678.92322964924,4392.082581227437,48.65703971119134,0.0,3.73,52,108,47.0,19.0,18.0,35.0,374.0,184.0,64.0,423.0,232.0
108,강서구,화곡동,4.0,186.0,2.0,176.0,8.28156246780971,25.080607696942657,22699.453738701726,5857.735963581184,53.60175349856685,0.0,6.14,47,109,4.0,3.0,121.0,6.0,322.0,164.0,64.0,303.0,237.0
109,강서구,등촌동,2.0,74.0,3.0,82.0,8.28156246780971,25.69648939490576,28748.40787054064,6814.692972972973,61.45081081081081,1.0,6.14,47,110,17.0,36.0,84.0,34.0,322.0,145.0,23.0,303.0,237.0
110,강서구,가양동,1.0,39.0,1.0,34.0,8.28156246780971,21.14881902514632,29600.14164785553,7413.490230905862,59.03730017761989,1.0,6.14,47,111,47.0,90.0,173.0,99.0,322.0,238.0,23.0,303.0,237.0
111,강서구,방화동,1.0,70.0,2.0,52.0,8.28156246780971,19.72922380392669,26113.10505836576,5059.53724340176,53.04046920821114,2.0,6.14,47,112,47.0,40.0,121.0,61.0,322.0,285.0,4.0,303.0,237.0
112,강서구,염창동,1.0,32.0,1.0,30.0,8.28156246780971,21.98861571999516,38225.39237826394,12996.606790799562,61.64184008762322,0.0,6.14,47,113,47.0,114.0,173.0,111.0,322.0,211.0,64.0,303.0,237.0
113,강서구,마곡동,0.0,74.0,5.0,90.0,8.28156246780971,27.62826682460946,30343.980565875965,4917.680502457673,62.37383943200437,0.0,6.14,47,114,132.0,36.0,44.0,29.0,322.0,123.0,64.0,303.0,237.0
114,강서구,공항동,0.0,46.0,0.0,16.0,8.28156246780971,25.331710991366823,17727.121756487028,2705.393586005831,49.3134110787172,0.0,6.14,47,115,132.0,74.0,280.0,149.0,322.0,154.0,64.0,303.0,237.0
115,강서구,내발산동,0.0,45.0,1.0,48.0,8.28156246780971,17.768863590525065,34242.263808139534,8756.045192307693,55.472115384615385,0.0,6.14,47,116,132.0,75.0,173.0,68.0,322.0,343.0,64.0,303.0,237.0
116,강서구,외발산동,0.0,23.0,0.0,0.0,8.28156246780971,24.526315789473685,15551.875,5473.684210526316,55.10526315789474,0.0,6.14,47,117,132.0,141.0,280.0,345.0,322.0,178.0,64.0,303.0,237.0
