,자치구,법정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
185,용산구,서빙고동,,5597,,
186,용산구,주성동,,821,,
187,용산구,보광동,14.0,11147,0.0012559433031308872,0.12559433031308873
188,성동구,상왕십리동,4.0,3660,0.001092896174863388,0.1092896174863388
189,성동구,하왕십리동,34.0,30226,0.0011248593925759281,0.11248593925759282
190,성동구,홍익동,6.0,3772,0.0015906680805938495,0.15906680805938495
191,성동구,도선동,12.0,4706,0.0025499362515937103,0.254993625159371
192,성동구,마장동,18.0,21573,0.0008343763037129745,0.08343763037129745
193,성동구,사근동,2.0,6694,0.00029877502240812666,0.029877502240812665
194,성동구,행당동,54.0,41789,0.0012922060829404867,0.12922060829404866
195,성동구,응봉동,4.0,14941,0.00026771969747674187,0.026771969747674186
196,성동구,금호동1가,12.0,14745,0.0008138351983723296,0.08138351983723296
197,성동구,금호동2가,8.0,9736,0.0008216926869350862,0.08216926869350863
198,성동구,금호동3가,16.0,12217,0.0013096504870262749,0.13096504870262748
199,성동구,금호동4가,14.0,14154,0.0009891196834817012,0.09891196834817012
200,성동구,옥수동,18.0,25402,0.000708605621604598,0.0708605621604598
201,성동구,성수동1가,22.0,27335,0.0008048289738430583,0.08048289738430583
202,성동구,성수동2가,42.0,24652,0.0017037157228622425,0.17037157228622424
203,성동구,송정동,10.0,9838,0.0010164667615368977,0.10164667615368977
204,성동구,용답동,16.0,11921,0.0013421692811005788,0.1342169281100579
205,광진구,중곡동,78.0,79081,0.0009863304712889316,0.09863304712889316
206,광진구,능동,12.0,11097,0.0010813733441470668,0.10813733441470669
207,광진구,구의동,60.0,76577,0.0007835250793319143,0.07835250793319143
208,광진구,광장동,16.0,33971,0.0004709899620264343,0.047098996202643434
209,광진구,자양동,98.0,92565,0.001058715497218171,0.10587154972181709
210,광진구,화양동,30.0,23193,0.0012934937265554262,0.1293493726555426
211,광진구,군자동,14.0,19070,0.0007341373885684321,0.07341373885684321
212,동대문구,신설동,8.0,3666,0.002182214948172395,0.2182214948172395
213,동대문구,용두동,34.0,34744,0.000978586230716095,0.09785862307160949
214,동대문구,제기동,128.0,23014,0.005561831928391414,0.5561831928391414
215,동대문구,전농동,56.0,50115,0.0011174299112042302,0.11174299112042302
216,동대문구,답십리동,54.0,55356,0.0009755040104053761,0.09755040104053761
217,동대문구,장안동,96.0,70078,0.0013699021090784554,0.13699021090784552
218,동대문구,청량리동,44.0,18742,0.0023476683384910896,0.23476683384910896
219,동대문구,회기동,32.0,10394,0.003078699249567058,0.3078699249567058
220,동대문구,휘경동,36.0,37876,0.0009504699545886577,0.09504699545886577
221,동대문구,이문동,38.0,37164,0.0010224948875255625,0.10224948875255625
222,중랑구,면목동,130.0,134764,0.000964649312872874,0.0964649312872874
223,중랑구,상봉동,40.0,43498,0.0009195825095406685,0.09195825095406684
224,중랑구,중화동,36.0,42559,0.0008458845367607322,0.08458845367607322
225,중랑구,묵동,38.0,51761,0.0007341434670891211,0.07341434670891211
226,중랑구,망우동,60.0,52120,0.0011511895625479663,0.11511895625479662
227,중랑구,신내동,52.0,57453,0.0009050876368509913,0.09050876368509912
228,성북구,성북동,,10158,,
229,성북구,성북동1가,2.0,1832,0.001091703056768559,0.10917030567685589
230,성북구,돈암동,14.0,38248,0.00036603221083455345,0.036603221083455345
231,성북구,동소문동1가,6.0,922,0.006507592190889371,0.6507592190889371
232,성북구,동소문동2가,10.0,507,0.01972386587771203,1.9723865877712032
233,성북구,동소문동3가,6.0,152,0.039473684210526314,3.9473684210526314
234,성북구,동소문동4가,6.0,3014,0.0019907100199071004,0.19907100199071004
235,성북구,동소문동5가,2.0,1124,0.0017793594306049821,0.1779359430604982
236,성북구,동소문동6가,10.0,1854,0.005393743257820928,0.5393743257820928
237,성북구,동소문동7가,2.0,2316,0.0008635578583765112,0.08635578583765112
238,성북구,삼선동1가,4.0,4193,0.0009539709038874314,0.09539709038874314
239,성북구,삼선동2가,,5618,,
240,성북구,삼선동3가,,3780,,
241,성북구,삼선동4가,4.0,3109,0.001286587327114828,0.1286587327114828
242,성북구,삼선동5가,2.0,3715,0.0005383580080753701,0.053835800807537006
