,자치구,법정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
306,서대문구,창천동,3.0,10707,0.0002801905295601009,0.02801905295601009
307,서대문구,연희동,5.0,33990,0.00014710208884966165,0.014710208884966165
308,서대문구,홍은동,2.0,50700,3.944773175542406e-05,0.003944773175542406
309,서대문구,북가좌동,,48242,,
310,서대문구,남가좌동,,45775,,
311,마포구,아현동,1.0,28150,3.552397868561279e-05,0.003552397868561279
312,마포구,공덕동,,25540,,
313,마포구,신공덕동,1.0,12401,8.063865817272801e-05,0.008063865817272801
314,마포구,도화동,1.0,21429,4.6665733351999625e-05,0.004666573335199963
315,마포구,용강동,,7416,,
316,마포구,토정동,,1248,,
317,마포구,마포동,,2662,,
318,마포구,대흥동,1.0,16364,6.11097531165974e-05,0.006110975311659741
319,마포구,염리동,,18042,,
320,마포구,노고산동,1.0,5832,0.00017146776406035664,0.017146776406035662
321,마포구,신수동,1.0,15386,6.499415052645263e-05,0.006499415052645263
322,마포구,현석동,,4979,,
323,마포구,구수동,,757,,
324,마포구,창전동,2.0,14683,0.0001362119457876456,0.013621194578764559
325,마포구,상수동,3.0,7409,0.00040491294371710083,0.04049129437171008
326,마포구,하중동,,1463,,
327,마포구,신정동,,1540,,
328,마포구,당인동,,1017,,
329,마포구,서교동,13.0,19321,0.0006728430205475907,0.06728430205475906
330,마포구,동교동,3.0,3487,0.0008603383997705764,0.08603383997705764
331,마포구,합정동,2.0,16338,0.00012241400416207614,0.012241400416207615
332,마포구,망원동,2.0,37081,5.393597799412098e-05,0.005393597799412098
333,마포구,연남동,,14227,,
334,마포구,성산동,4.0,47572,8.408307407718826e-05,0.008408307407718826
335,마포구,중동,,9692,,
336,마포구,상암동,9.0,29661,0.0003034287448164256,0.03034287448164256
337,양천구,신정동,7.0,172038,4.0688685057952315e-05,0.004068868505795232
338,양천구,목동,7.0,145532,4.8099387076381826e-05,0.004809938707638183
339,양천구,신월동,5.0,118458,4.220905299768694e-05,0.004220905299768695
340,강서구,염창동,1.0,41285,2.422187235073271e-05,0.002422187235073271
341,강서구,등촌동,3.0,73691,4.071053452931837e-05,0.004071053452931837
342,강서구,화곡동,2.0,217411,9.19916655551007e-06,0.000919916655551007
343,강서구,가양동,1.0,43227,2.313368959215305e-05,0.002313368959215305
344,강서구,마곡동,5.0,54028,9.254460650033316e-05,0.009254460650033316
345,강서구,내발산동,1.0,44623,2.2409967953745828e-05,0.002240996795374583
346,강서구,외발산동,,950,,
347,강서구,공항동,,17259,,
348,강서구,방화동,2.0,68913,2.9022100329400838e-05,0.002902210032940084
349,강서구,개화동,,1649,,
350,강서구,오곡동,,12,,
351,강서구,오쇠동,,10,,
352,구로구,신도림동,4.0,35998,0.00011111728429357187,0.011111728429357186
353,구로구,구로동,11.0,114017,9.647684117280756e-05,0.009647684117280756
354,구로구,가리봉동,,8766,,
355,구로구,고척동,3.0,52187,5.748558070017437e-05,0.005748558070017437
356,구로구,개봉동,3.0,82438,3.639098474004706e-05,0.003639098474004706
357,구로구,오류동,3.0,43725,6.86106346483705e-05,0.00686106346483705
358,구로구,궁동,1.0,13963,7.161784716751415e-05,0.007161784716751414
359,구로구,온수동,,8757,,
360,구로구,천왕동,,16219,,
361,구로구,항동,1.0,16335,6.121824303642486e-05,0.006121824303642486
362,금천구,가산동,4.0,24695,0.0001619761085239927,0.01619761085239927
363,금천구,독산동,6.0,102277,5.866421580609521e-05,0.005866421580609521
364,금천구,시흥동,5.0,100509,4.9746788844780067e-05,0.004974678884478007
365,영등포구,영등포동,1.0,13734,7.2811999417504e-05,0.0072811999417504
366,영등포구,영등포동1가,,4005,,
367,영등포구,영등포동2가,,4224,,
368,영등포구,영등포동3가,,1899,,
369,영등포구,영등포동4가,1.0,1350,0.0007407407407407407,0.07407407407407407
370,영등포구,영등포동5가,1.0,1802,0.0005549389567147614,0.05549389567147614
371,영등포구,영등포동6가,,1876,,
372,영등포구,영등포동7가,1.0,9893,0.00010108157282927322,0.010108157282927322
373,영등포구,영등포동8가,,4967,,
374,영등포구,여의도동,9.0,33350,0.0002698650674662669,0.026986506746626688
375,영등포구,당산동1가,,6679,,
376,영등포구,당산동2가,,5396,,
377,영등포구,당산동3가,2.0,8941,0.0002236886254333967,0.02236886254333967
378,영등포구,당산동4가,,12158,,
379,영등포구,당산동5가,,12936,,
380,영등포구,당산동6가,,3372,,
381,영등포구,당산동,1.0,8221,0.0001216397031991242,0.012163970319912419
382,영등포구,도림동,,17579,,
383,영등포구,문래동1가,1.0,255,0.00392156862745098,0.39215686274509803
384,영등포구,문래동2가,1.0,1097,0.0009115770282588879,0.09115770282588878
385,영등포구,문래동3가,1.0,13510,7.401924500370096e-05,0.007401924500370096
386,영등포구,문래동4가,,1932,,
387,영등포구,문래동5가,,4592,,
388,영등포구,문래동6가,,10728,,
389,영등포구,양평동1가,,4951,,
390,영등포구,양평동2가,,7060,,
391,영등포구,양평동3가,,12013,,
392,영등포구,양평동4가,1.0,6687,0.00014954389113204725,0.014954389113204725
393,영등포구,양평동5가,1.0,5892,0.00016972165648336727,0.016972165648336725
394,영등포구,양평동6가,,4076,,
395,영등포구,신길동,,102573,,
396,영등포구,대림동,1.0,47046,2.1255792203375418e-05,0.002125579220337542
397,동작구,노량진동,5.0,31412,0.0001591748376416656,0.01591748376416656
398,동작구,상도동,5.0,113674,4.398543202491335e-05,0.004398543202491335
399,동작구,상도1동,1.0,9631,0.00010383137784238397,0.010383137784238397
400,동작구,본동,,10796,,
401,동작구,흑석동,4.0,29961,0.00013350689229331465,0.013350689229331466
402,동작구,동작동,1.0,5553,0.00018008283810552856,0.018008283810552854
403,동작구,사당동,6.0,96784,6.199371796991238e-05,0.006199371796991238
404,동작구,대방동,2.0,35638,5.611987204669173e-05,0.005611987204669173
405,동작구,신대방동,1.0,45320,2.206531332744925e-05,0.002206531332744925
406,관악구,봉천동,7.0,221775,3.156352158719423e-05,0.003156352158719423
407,관악구,신림동,7.0,242494,2.8866693608914036e-05,0.0028866693608914037
408,관악구,남현동,1.0,17687,5.653870074065698e-05,0.005653870074065698
409,서초구,방배동,3.0,94571,3.1722198136849564e-05,0.003172219813684956
410,서초구,양재동,6.0,35620,0.00016844469399213924,0.016844469399213923
411,서초구,우면동,2.0,27411,7.296340885046149e-05,0.0072963408850461485
412,서초구,원지동,,253,,
413,서초구,잠원동,3.0,50584,5.9307290842954294e-05,0.005930729084295429
414,서초구,반포동,9.0,75816,0.00011870845204178538,0.011870845204178538
415,서초구,서초동,21.0,106213,0.00019771591048176778,0.019771591048176777
416,서초구,내곡동,2.0,8258,0.0002421893921046258,0.02421893921046258
417,서초구,염곡동,1.0,998,0.001002004008016032,0.1002004008016032
418,서초구,신원동,1.0,7940,0.00012594458438287153,0.012594458438287152
419,강남구,역삼동,11.0,70529,0.00015596421330232955,0.015596421330232955
420,강남구,개포동,4.0,75386,5.3060249913777095e-05,0.005306024991377709
421,강남구,청담동,8.0,24629,0.0003248203337528929,0.03248203337528929
422,강남구,삼성동,11.0,42743,0.00025735208104250986,0.025735208104250985
423,강남구,대치동,10.0,80762,0.00012382060870211239,0.012382060870211238
424,강남구,신사동,13.0,10796,0.0012041496850685438,0.12041496850685439
425,강남구,논현동,7.0,41447,0.00016889039013680122,0.01688903901368012
426,강남구,압구정동,,30226,,
427,강남구,세곡동,,14391,,
428,강남구,자곡동,3.0,27333,0.0001097574360662935,0.010975743606629349
429,강남구,율현동,1.0,3807,0.0002626740215392698,0.026267402153926978
430,강남구,일원동,3.0,47748,6.282985674792661e-05,0.006282985674792661
431,강남구,수서동,1.0,21861,4.574356159370569e-05,0.004574356159370569
432,강남구,도곡동,2.0,53215,3.758338814244104e-05,0.0037583388142441044
433,송파구,잠실동,15.0,105885,0.00014166312508853945,0.014166312508853945
434,송파구,신천동,3.0,37715,7.954394803128728e-05,0.007954394803128728
435,송파구,풍납동,2.0,35496,5.634437683119225e-05,0.005634437683119225
436,송파구,송파동,6.0,41914,0.00014315026005630576,0.014315026005630576
437,송파구,석촌동,1.0,30766,3.2503412858350125e-05,0.0032503412858350123
438,송파구,삼전동,1.0,29075,3.4393809114359416e-05,0.0034393809114359416
